sheet,cell,row,col,text
cutesv调参,J7,7,J,0.65308649
cutesv调参,K7,7,K,16166
cutesv调参,L7,7,L,13617
cutesv调参,M7,7,M,4399
cutesv调参,N7,7,N,11952
cutesv调参,A8,8,A,P07_CLR_s5
cutesv调参,B8,8,B,CLR_like
cutesv调参,C8,8,C,5
cutesv调参,D8,8,D,100
cutesv调参,E8,8,E,0.3
cutesv调参,F8,8,F,200
cutesv调参,G8,8,G,0.5
cutesv调参,H8,8,H,0.924916662
cutesv调参,I8,8,I,0.716530953
cutesv调参,J8,8,J,0.807496275
cutesv调参,K8,8,K,20151
cutesv调参,L8,8,L,17480
cutesv调参,M8,8,M,1419
cutesv调参,N8,8,N,7972
cutesv调参,A9,9,A,P08_CLR_s10
cutesv调参,B9,9,B,CLR_like
cutesv调参,C9,9,C,10
cutesv调参,D9,9,D,100
cutesv调参,E9,9,E,0.3
cutesv调参,F9,9,F,200
cutesv调参,G9,9,G,0.5
cutesv调参,H9,9,H,0.925385935
cutesv调参,I9,9,I,0.707367373
cutesv调参,J9,9,J,0.801820844
cutesv调参,K9,9,K,19894
cutesv调参,L9,9,L,17264
cutesv调参,M9,9,M,1392
cutesv调参,N9,9,N,8230
cutesv调参,A10,10,A,P09_CLR_s15
cutesv调参,B10,10,B,CLR_like
cutesv调参,C10,10,C,15
cutesv调参,D10,10,D,100
cutesv调参,E10,10,E,0.3
cutesv调参,F10,10,F,200
cutesv调参,G10,10,G,0.5
cutesv调参,H10,10,H,0.927052847
cutesv调参,I10,10,I,0.688975818
cutesv调参,J10,10,J,0.790477307
cutesv调参,K10,10,K,19374
cutesv调参,L10,10,L,16788
cutesv调参,M10,10,M,1321
cutesv调参,N10,10,N,8746
cutesv调参,A12,12,A,现有 BGI、ONT、HiFi 的 cuteSV 脚本实际都用了同一套，更接近ONT 参数：
cutesv调参,G12,12,G,因素
cutesv调参,H12,12,H,水平
cutesv调参,B13,13,B,-s <depth-dependent>
cutesv调参,E13,13,E,其中-s是按深度变的：
cutesv调参,G13,13,G,cuteSV 参数类型
cutesv调参,H13,13,H,ONT-like、HiFi-like、CLR-like
cutesv调参,B14,14,B,-l 50
cutesv调参,E14,14,E,"10x: -s 3
30x: -s 10
50x: -s 10"
cutesv调参,G14,14,G,-s support
cutesv调参,H14,14,H,5、10、15
cutesv调参,B15,15,B,--genotype
cutesv调参,G15,15,G,固定
cutesv调参,H15,15,H,-l 50、--genotype、Truvari 沿用旧参数
cutesv调参,B16,16,B,-S HG002
cutesv调参,B17,17,B,--max_cluster_bias_INS 100
cutesv调参,B18,18,B,--diff_ratio_merging_INS 0.3
cutesv调参,B19,19,B,--max_cluster_bias_DEL 100
cutesv调参,B20,20,B,--diff_ratio_merging_DEL 0.3
cutesv调参,A22,22,A,目前最佳结果
cutesv调参,B22,22,B,R2_02_support_s3_q20
cutesv调参,F22,22,F,BGI 50x 的 cuteSV tuned 参数先定为：
cutesv调参,B23,23,B,-s 3
cutesv调参,F23,23,F,"-s 3 -q 20 -l 50 --genotype -S HG002 \
--max_cluster_bias_INS 100 --diff_ratio_merging_INS 0.3 \
--max_cluster_bias_DEL 100 --diff_ratio_merging_DEL 0.3"
cutesv调参,B24,24,B,-q 20
cutesv调参,B25,25,B,INS bias/ratio = 100 / 0.3
cutesv调参,B26,26,B,DEL bias/ratio = 100 / 0.3
cutesv调参,B27,27,B,precision = 0.924874
cutesv调参,B28,28,B,recall    = 0.733094
cutesv调参,B29,29,B,F1        = 0.817892
cutesv调参,B30,30,B,FP = 1463
cutesv调参,B31,31,B,FN = 7507
cutesv调参,A34,34,A,family
cutesv调参,B34,34,B,vcf
cutesv调参,C34,34,C,parameters
cutesv调参,G34,34,G,GIAB-bench
cutesv调参,V34,34,V,GIAB-refine
cutesv调参,A35,35,A,family
cutesv调参,B35,35,B,vcf
cutesv调参,C35,35,C,bias_ins
cutesv调参,D35,35,D,ratio_ins
cutesv调参,E35,35,E,bias_del
cutesv调参,F35,35,F,ratio_del
cutesv调参,G35,35,G,precision
cutesv调参,H35,35,H,recall
cutesv调参,I35,35,I,F1
cutesv调参,J35,35,J,concordance
cutesv调参,K35,35,K,gt-precision
cutesv调参,L35,35,L,gt-recall
cutesv调参,M35,35,M,gt-F1
cutesv调参,N35,35,N,tp-base
cutesv调参,O35,35,O,tp-call
cutesv调参,P35,35,P,fp
cutesv调参,Q35,35,Q,fn
cutesv调参,R35,35,R,TP-call-TP
cutesv调参,S35,35,S,TP-call-FP
cutesv调参,T35,35,T,TP-base-TP
cutesv调参,U35,35,U,TP-base-FP
cutesv调参,V35,35,V,tp-base
cutesv调参,W35,35,W,tp-call
cutesv调参,X35,35,X,fp
cutesv调参,Y35,35,Y,fn
cutesv调参,Z35,35,Z,precision
cutesv调参,AA35,35,AA,recall
cutesv调参,AB35,35,AB,F1
cutesv调参,A36,36,A,cuteSV -l 50 -s 10 -q 10
cutesv调参,B36,36,B,cutesv_10_10_100_0.3_100_0.3
cutesv调参,C36,36,C,100
cutesv调参,D36,36,D,0.3
cutesv调参,E36,36,E,100
cutesv调参,F36,36,F,0.3
cutesv调参,G36,36,G,0.9261
cutesv调参,H36,36,H,0.7204
cutesv调参,I36,36,I,0.8104
cutesv调参,J36,36,J,0.7974
cutesv调参,K36,36,K,0.7385
cutesv调参,L36,36,L,0.502
cutesv调参,M36,36,M,0.5977
cutesv调参,N36,36,N,20263
cutesv调参,O36,36,O,17708
cutesv调参,P36,36,P,1413
cutesv调参,Q36,36,Q,7863
cutesv调参,R36,36,R,14120
cutesv调参,S36,36,S,3588
cutesv调参,T36,36,T,14120
cutesv调参,U36,36,U,6143
cutesv调参,V36,36,V,23653
cutesv调参,W36,36,W,18541
cutesv调参,X36,36,X,580
cutesv调参,Y36,36,Y,4473
cutesv调参,Z36,36,Z,0.9697
cutesv调参,AA36,36,AA,0.841
cutesv调参,AB36,36,AB,0.9007
cutesv调参,B37,37,B,cutesv_10_10_100_0.3_100_0.5
cutesv调参,C37,37,C,100
cutesv调参,D37,37,D,0.3
cutesv调参,E37,37,E,100
cutesv调参,F37,37,F,0.5
cutesv调参,G37,37,G,0.9212
cutesv调参,H37,37,H,0.7163
cutesv调参,I37,37,I,0.8059
cutesv调参,J37,37,J,0.7901
cutesv调参,K37,37,K,0.7278
cutesv调参,L37,37,L,0.4927
cutesv调参,M37,37,M,0.5876
cutesv调参,N37,37,N,20146
cutesv调参,O37,37,O,17536
cutesv调参,P37,37,P,1501
cutesv调参,Q37,37,Q,7981
cutesv调参,R37,37,R,13856
cutesv调参,S37,37,S,3680
cutesv调参,T37,37,T,13857
cutesv调参,U37,37,U,6289
cutesv调参,V37,37,V,23546
cutesv调参,W37,37,W,18408
cutesv调参,X37,37,X,629
cutesv调参,Y37,37,Y,4581
cutesv调参,Z37,37,Z,0.967
cutesv调参,AA37,37,AA,0.8371
cutesv调参,AB37,37,AB,0.8974
cutesv调参,B38,38,B,cutesv_10_10_100_0.3_100_0.9
cutesv调参,C38,38,C,100
cutesv调参,D38,38,D,0.3
cutesv调参,E38,38,E,100
cutesv调参,F38,38,F,0.9
cutesv调参,G38,38,G,0.914
cutesv调参,H38,38,H,0.7099
cutesv调参,I38,38,I,0.7991
cutesv调参,J38,38,J,0.7845
cutesv调参,K38,38,K,0.717
cutesv调参,L38,38,L,0.4837
cutesv调参,M38,38,M,0.5777
cutesv调参,N38,38,N,19966
cutesv调参,O38,38,O,17339
cutesv调参,P38,38,P,1632
cutesv调参,Q38,38,Q,8161
cutesv调参,R38,38,R,13602
cutesv调参,S38,38,S,3737
cutesv调参,T38,38,T,13604
cutesv调参,U38,38,U,6362
cutesv调参,V38,38,V,23442
cutesv调参,W38,38,W,18280
cutesv调参,X38,38,X,691
cutesv调参,Y38,38,Y,4685
cutesv调参,Z38,38,Z,0.9636
cutesv调参,AA38,38,AA,0.8334
cutesv调参,AB38,38,AB,0.8938
cutesv调参,B39,39,B,cutesv_10_10_100_0.3_500_0.3
cutesv调参,C39,39,C,100
cutesv调参,D39,39,D,0.3
cutesv调参,E39,39,E,500
cutesv调参,F39,39,F,0.3
cutesv调参,G39,39,G,0.9072
cutesv调参,H39,39,H,0.6975
cutesv调参,I39,39,I,0.7886
cutesv调参,J39,39,J,0.7912
cutesv调参,K39,39,K,0.7177
cutesv调参,L39,39,L,0.4798
cutesv调参,M39,39,M,0.5751
cutesv调参,N39,39,N,19615
cutesv调参,O39,39,O,17049
cutesv调参,P39,39,P,1745
cutesv调参,Q39,39,Q,8507
cutesv调参,R39,39,R,13489
cutesv调参,S39,39,S,3560
cutesv调参,T39,39,T,13493
cutesv调参,U39,39,U,6122
cutesv调参,V39,39,V,23220
cutesv调参,W39,39,W,17774
cutesv调参,X39,39,X,1020
cutesv调参,Y39,39,Y,4902
cutesv调参,Z39,39,Z,0.9457
cutesv调参,AA39,39,AA,0.8257
cutesv调参,AB39,39,AB,0.8816
cutesv调参,B40,40,B,cutesv_10_10_100_0.3_500_0.5
cutesv调参,C40,40,C,100
cutesv调参,D40,40,D,0.3
cutesv调参,E40,40,E,500
cutesv调参,F40,40,F,0.5
cutesv调参,G40,40,G,0.8628
cutesv调参,H40,40,H,0.6887
cutesv调参,I40,40,I,0.766
cutesv调参,J40,40,J,0.7809
cutesv调参,K40,40,K,0.6738
cutesv调参,L40,40,L,0.4655
cutesv调参,M40,40,M,0.5506
cutesv调参,N40,40,N,19366
cutesv调参,O40,40,O,16755
cutesv调参,P40,40,P,2664
cutesv调参,Q40,40,Q,8755
cutesv调参,R40,40,R,13084
cutesv调参,S40,40,S,3671
cutesv调参,T40,40,T,13090
cutesv调参,U40,40,U,6276
cutesv调参,V40,40,V,22990
cutesv调参,W40,40,W,17526
cutesv调参,X40,40,X,1893
cutesv调参,Y40,40,Y,5131
cutesv调参,Z40,40,Z,0.9025
cutesv调参,AA40,40,AA,0.8175
cutesv调参,AB40,40,AB,0.8579
cutesv调参,B41,41,B,cutesv_10_10_100_0.3_500_0.9
cutesv调参,C41,41,C,100
cutesv调参,D41,41,D,0.3
cutesv调参,E41,41,E,500
cutesv调参,F41,41,F,0.9
cutesv调参,G41,41,G,0.7741
cutesv调参,H41,41,H,0.6779
cutesv调参,I41,41,I,0.7228
cutesv调参,J41,41,J,0.7718
cutesv调参,K41,41,K,0.5974
cutesv调参,L41,41,L,0.4514
cutesv调参,M41,41,M,0.5143
cutesv调参,N41,41,N,19063
cutesv调参,O41,41,O,16439
cutesv调参,P41,41,P,4797
cutesv调参,Q41,41,Q,9058
cutesv调参,R41,41,R,12687
cutesv调参,S41,41,S,3752
cutesv调参,T41,41,T,12694
cutesv调参,U41,41,U,6369
cutesv调参,V41,41,V,22865
cutesv调参,W41,41,W,17364
cutesv调参,X41,41,X,3872
cutesv调参,Y41,41,Y,5256
cutesv调参,Z41,41,Z,0.8177
cutesv调参,AA41,41,AA,0.8131
cutesv调参,AB41,41,AB,0.8154
cutesv调参,B42,42,B,cutesv_10_10_100_0.3_1000_0.3
cutesv调参,C42,42,C,100
cutesv调参,D42,42,D,0.3
cutesv调参,E42,42,E,1000
cutesv调参,F42,42,F,0.3
cutesv调参,G42,42,G,0.8471
cutesv调参,H42,42,H,0.6467
cutesv调参,I42,42,I,0.7334
cutesv调参,J42,42,J,0.7804
cutesv调参,K42,42,K,0.661
cutesv调参,L42,42,L,0.4365
cutesv调参,M42,42,M,0.5258
cutesv调参,N42,42,N,18183
cutesv调参,O42,42,O,15722
cutesv调参,P42,42,P,2838
cutesv调参,Q42,42,Q,9934
cutesv调参,R42,42,R,12269
cutesv调参,S42,42,S,3453
cutesv调参,T42,42,T,12274
cutesv调参,U42,42,U,5909
cutesv调参,V42,42,V,22003
cutesv调参,W42,42,W,16522
cutesv调参,X42,42,X,2038
cutesv调参,Y42,42,Y,6114
cutesv调参,Z42,42,Z,0.8902
cutesv调参,AA42,42,AA,0.7826
cutesv调参,AB42,42,AB,0.8329
cutesv调参,B43,43,B,cutesv_10_10_100_0.3_1000_0.5
cutesv调参,C43,43,C,100
cutesv调参,D43,43,D,0.3
cutesv调参,E43,43,E,1000
cutesv调参,F43,43,F,0.5
cutesv调参,G43,43,G,0.7682
cutesv调参,H43,43,H,0.6277
cutesv调参,I43,43,I,0.6909
cutesv调参,J43,43,J,0.7674
cutesv调参,K43,43,K,0.5895
cutesv调参,L43,43,L,0.4145
cutesv调参,M43,43,M,0.4867
cutesv调参,N43,43,N,17650
cutesv调参,O43,43,O,15182
cutesv调参,P43,43,P,4581
cutesv调参,Q43,43,Q,10467
cutesv调参,R43,43,R,11650
cutesv调参,S43,43,S,3532
cutesv调参,T43,43,T,11654
cutesv调参,U43,43,U,5996
cutesv调参,V43,43,V,21513
cutesv调参,W43,43,W,16066
cutesv调参,X43,43,X,3697
cutesv调参,Y43,43,Y,6604
cutesv调参,Z43,43,Z,0.8129
cutesv调参,AA43,43,AA,0.7651
cutesv调参,AB43,43,AB,0.7883
cutesv调参,B44,44,B,cutesv_10_10_100_0.3_1000_0.9
cutesv调参,C44,44,C,100
cutesv调参,D44,44,D,0.3
cutesv调参,E44,44,E,1000
cutesv调参,F44,44,F,0.9
cutesv调参,G44,44,G,0.6292
cutesv调参,H44,44,H,0.6061
cutesv调参,I44,44,I,0.6174
cutesv调参,J44,44,J,0.7521
cutesv调参,K44,44,K,0.4732
cutesv调参,L44,44,L,0.39
cutesv调参,M44,44,M,0.4276
cutesv调参,N44,44,N,17041
cutesv调参,O44,44,O,14573
cutesv调参,P44,44,P,8588
cutesv调参,Q44,44,Q,11076
cutesv调参,R44,44,R,10960
cutesv调参,S44,44,S,3613
cutesv调参,T44,44,T,10966
cutesv调参,U44,44,U,6075
cutesv调参,V44,44,V,21043
cutesv调参,W44,44,W,15645
cutesv调参,X44,44,X,7516
cutesv调参,Y44,44,Y,7074
cutesv调参,Z44,44,Z,0.6755
cutesv调参,AA44,44,AA,0.7484
cutesv调参,AB44,44,AB,0.7101
cutesv调参,B45,45,B,cutesv_10_10_100_0.5_100_0.3
cutesv调参,C45,45,C,100
cutesv调参,D45,45,D,0.5
cutesv调参,E45,45,E,100
cutesv调参,F45,45,F,0.3
cutesv调参,G45,45,G,0.9221
cutesv调参,H45,45,H,0.7126
cutesv调参,I45,45,I,0.8039
cutesv调参,J45,45,J,0.781
cutesv调参,K45,45,K,0.7201
cutesv调参,L45,45,L,0.4823
cutesv调参,M45,45,M,0.5777
cutesv调参,N45,45,N,20042
cutesv调参,O45,45,O,17367
cutesv调参,P45,45,P,1468
cutesv调参,Q45,45,Q,8084
cutesv调参,R45,45,R,13564
cutesv调参,S45,45,S,3803
cutesv调参,T45,45,T,13566
cutesv调参,U45,45,U,6476
cutesv调参,V45,45,V,23517
cutesv调参,W45,45,W,18228
cutesv调参,X45,45,X,607
cutesv调参,Y45,45,Y,4609
cutesv调参,Z45,45,Z,0.9678
cutesv调参,AA45,45,AA,0.8361
cutesv调参,AB45,45,AB,0.8971
cutesv调参,B46,46,B,cutesv_10_10_100_0.5_100_0.5
cutesv调参,C46,46,C,100
cutesv调参,D46,46,D,0.5
cutesv调参,E46,46,E,100
cutesv调参,F46,46,F,0.5
cutesv调参,G46,46,G,0.917
cutesv调参,H46,46,H,0.7084
cutesv调参,I46,46,I,0.7993
cutesv调参,J46,46,J,0.7735
cutesv调参,K46,46,K,0.7093
cutesv调参,L46,46,L,0.473
cutesv调参,M46,46,M,0.5675
cutesv调参,N46,46,N,19925
cutesv调参,O46,46,O,17195
cutesv调参,P46,46,P,1556
cutesv调参,Q46,46,Q,8202
cutesv调参,R46,46,R,13300
cutesv调参,S46,46,S,3895
cutesv调参,T46,46,T,13303
cutesv调参,U46,46,U,6622
cutesv调参,V46,46,V,23396
cutesv调参,W46,46,W,18100
cutesv调参,X46,46,X,651
cutesv调参,Y46,46,Y,4731
cutesv调参,Z46,46,Z,0.9653
cutesv调参,AA46,46,AA,0.8318
cutesv调参,AB46,46,AB,0.8936
cutesv调参,B47,47,B,cutesv_10_10_100_0.5_100_0.9
cutesv调参,C47,47,C,100
cutesv调参,D47,47,D,0.5
cutesv调参,E47,47,E,100
cutesv调参,F47,47,F,0.9
cutesv调参,G47,47,G,0.9097
cutesv调参,H47,47,H,0.702
cutesv调参,I47,47,I,0.7925
cutesv调参,J47,47,J,0.7675
cutesv调参,K47,47,K,0.6982
cutesv调参,L47,47,L,0.464
cutesv调参,M47,47,M,0.5575
cutesv调参,N47,47,N,19745
cutesv调参,O47,47,O,16998
cutesv调参,P47,47,P,1687
cutesv调参,Q47,47,Q,8382
cutesv调参,R47,47,R,13046
cutesv调参,S47,47,S,3952
cutesv调参,T47,47,T,13050
cutesv调参,U47,47,U,6695
cutesv调参,V47,47,V,23287
cutesv调参,W47,47,W,17964
cutesv调参,X47,47,X,721
cutesv调参,Y47,47,Y,4840
cutesv调参,Z47,47,Z,0.9614
cutesv调参,AA47,47,AA,0.8279
cutesv调参,AB47,47,AB,0.8897
cutesv调参,B48,48,B,cutesv_10_10_100_0.5_500_0.3
cutesv调参,C48,48,C,100
cutesv调参,D48,48,D,0.5
cutesv调参,E48,48,E,500
cutesv调参,F48,48,F,0.3
cutesv调参,G48,48,G,0.9027
cutesv调参,H48,48,H,0.6896
cutesv调参,I48,48,I,0.7819
cutesv调参,J48,48,J,0.7741
cutesv调参,K48,48,K,0.6988
cutesv调参,L48,48,L,0.4601
cutesv调参,M48,48,M,0.5549
cutesv调参,N48,48,N,19394
cutesv调参,O48,48,O,16708
cutesv调参,P48,48,P,1800
cutesv调参,Q48,48,Q,8728
cutesv调参,R48,48,R,12933
cutesv调参,S48,48,S,3775
cutesv调参,T48,48,T,12939
cutesv调参,U48,48,U,6455
cutesv调参,V48,48,V,23097
cutesv调参,W48,48,W,17459
cutesv调参,X48,48,X,1049
cutesv调参,Y48,48,Y,5025
cutesv调参,Z48,48,Z,0.9433
cutesv调参,AA48,48,AA,0.8213
cutesv调参,AB48,48,AB,0.8781
cutesv调参,B49,49,B,cutesv_10_10_100_0.5_500_0.5
cutesv调参,C49,49,C,100
cutesv调参,D49,49,D,0.5
cutesv调参,E49,49,E,500
cutesv调参,F49,49,F,0.5
cutesv调参,G49,49,G,0.8579
cutesv调参,H49,49,H,0.6808
cutesv调参,I49,49,I,0.7592
cutesv调参,J49,49,J,0.7633
cutesv调参,K49,49,K,0.6548
cutesv调参,L49,49,L,0.4458
cutesv调参,M49,49,M,0.5304
cutesv调参,N49,49,N,19145
cutesv调参,O49,49,O,16414
cutesv调参,P49,49,P,2719
cutesv调参,Q49,49,Q,8976
cutesv调参,R49,49,R,12528
cutesv调参,S49,49,S,3886
cutesv调参,T49,49,T,12536
cutesv调参,U49,49,U,6609
cutesv调参,V49,49,V,22868
cutesv调参,W49,49,W,17222
cutesv调参,X49,49,X,1911
cutesv调参,Y49,49,Y,5253
cutesv调参,Z49,49,Z,0.9001
cutesv调参,AA49,49,AA,0.8132
cutesv调参,AB49,49,AB,0.8545
cutesv调参,B50,50,B,cutesv_10_10_100_0.5_500_0.9
cutesv调参,C50,50,C,100
cutesv调参,D50,50,D,0.5
cutesv调参,E50,50,E,500
cutesv调参,F50,50,F,0.9
cutesv调参,G50,50,G,0.7684
cutesv调参,H50,50,H,0.67
cutesv调参,I50,50,I,0.7159
cutesv调参,J50,50,J,0.7536
